Abbott, George Manlove|George Abbott
Barre, Jean|Juan Barreto

Barre, Raymond O. J.|Raymond Raymond

Barrett, John|John Barrett

Barrett, John|John Barrett

Barrett, John|John St. John

Barrett, Richard|Richard Barrett Lowe

Barrientos Ortuño, René|René Barrientos

Barringer, John Paul|John Paul Sr.

Barringer, John Paul|Paul Barringer

Barrios, Gonzalo|Gonzalo Barrios

Barros Luco, Ramón|Ramón Barros Luco

Barrow, Errol W.|Errol Barrow

Barry, Robert Louis|Louis

Barry, William Taylor|William Taylor

Barse, George|Gheorghe Mare

Bartels, John|John St. John

Bartholdt, Richard|Richard Bartholdt

Bartlett, Charles|Charles H. Bartlett

Bartlett, Charles|Charles Lafayette Bartlett

Bartlett, Charles|Charles

Bartlett, Charles|Charley Aylett

Bartlett, Charles|Charlie Brett

Bartlett, Joseph Jackson|Joseph Jackson

Barwick, Garfield E.J.|Garfield Barwick

Bash, Edward John|Edward John

Bassermann, Ernst|Ernest Aderman

Ba Swe|Ba Swe

Bates, Charles C.|Charles

Bates, William H.|William Bates

Battle, Vincent Martin|Martin

Battle, Vincent Martin|Vincent

Baudouy, Robert|Roberto Basualdo

Baunsgaard, Hilmar T. I.|Hilmar Baunsgaard

Baxter, Charles William|Charles Baxter

Baxter, Charles William|Charles

Baxter, Frank|Ryan Bater

Bay, Charles Ulrick|Charles

Bayat, Morteza Qoli|Morteza Qoli Bayat

Bayh, Birch Evans|Birch Bayh

Baylies, Francis|Francis Baylies

Baylies, Francis|Frank Baylis

Bazargan, Mehdi|Mehdi Bazargan

Beale, Howard|Howard Beale

Beale, Wilson Thomas Moore, Jr.|Thomas Moore

Beale, Wilson Thomas Moore, Jr.|Thomas Moore

Beall, John Glenn, Jr.|John Glenn

Beall, John Glenn, Jr.|John Glenn Beall Jr.

Beaulne, Joseph Charles Léonard Yvon|Charles

Beaumont, Jean Michel Guèrin de|Jean Michel

Becker, Ralph Elihu|Ralph Becker

Becker, Walther|Walter Baker

Becker, Walther|Walter Plecker

Becker, Walther|Walter Tucker

Beckett, John Angus|John Beckett

Beckett, William Eric|William Beckett

Bedinger, Henry|Henry Bedinger

Bekker, Konrad|Conrad Baker

Belanger, Raymond G.|Raymond Raymond

Bell, Alphonzo|Alphonzo E. Bell

Bell, David Elliott|David Elliott

Bell, Edward|Edvard Bull

Bell, James Dunbar|James Bell

Bell, James Dunbar|James Bell

Bell, John H.|John Bell

Bell, John H.|John Bell

Bell, John Oscar|John Bell

Bell, John Oscar|John Bell

Bell, Richard|Richard Bell

Bella, Ben|Ahmed Ben Bella

Bellmon, Henry L.|Henry Bellmon

Bellow, Saul|Samuel Bell

Ben Bella, Ahmed|Ahmed Ben Bella

Bendjedid, Chadli|Chadli Bendjedid

Beneš, Edvard|Edvard Beneš

Bengelloun, Ali|Mohamed Ali Hasan Ali

Bennet, Charles, E.|Charles

Bennett, Henry Garland|Henry Bennett

Bennett, William Tapley (Tap), Jr.|William Bennett

Bennett, William Tapley (Tap), Jr.|William Bennett

Benson, Edgar J.|Edgar Benson

Benson, Edgar J.|Edward J. Robeson Jr.

Benton, William Burnett|William Benton

Berardi, Paolo|Paulo Bernardo

Berding, Andrew Henry Thomas|Andrew Thomas

Berger, Hans|Hans

Berger, Samuel David|David Berger

Bergin, Charles K.|Charles

Bergland, Robert S.|Robert Bergland

Berlinguer, Enrico|Enrico Berlinguer

Berman, Charles E.|Charles

Bernhard|Bernhard Eriksson

Bernhard|Bernhard M. Jacobsen

Bernhard|Bernhard Riksfjord

Bernhard|Bernhard Tandberg

Bernhard|Bernhard Von Bülow

Bernhard|Bernhard Wiens

Bernhard|Bernhard Wise

Bernhard|Cornelius Bernhard Hanssen

Bernhard|Count Johann Bernhard Von Rechberg Und Rothenlöwen

Bernhard|Lauritz Bernhard Sirevaag

Bernstorff, Johann Heinrich A. von|Johann Heinrich Von Bernstorff

Berry, Charles N.|Charles

Berry, James Lampton|James Berry

Berry, Morrell John|John Berry

Betancourt, Rómulo|Rómulo Betancourt

Betancur, Belisario|Belisario Betancur

Bethe, Hans A.|Hans

Beugel, Ernst Hans van der|Hans

Bevan, Aneurin|Aneurin Bevan

Bevans, Charles I.|Charles

Bevilacqua, Charles K.|Charles

Bevin, Ernest|Ernest Bevin

Bigelow, John|John St. John

Bigler, John|John St. John

Billo, Charles G.|Charles

Bingham, John Armour|John Bingham

Bingham, Jonathan Brewster|Jonathan Brewster Bingham

Binns, John J.|John Binns

Birch, Thomas Howard|Thomas Howard

Birch, Thomas Howard|Thomas Howard

Bird, Lester|Lester Bird

Bishop, James Keough|James Bishop

Bishti, Ahmad|Ahmad Bishti

Bissell, William Henry|William Henry

Bissell, William Henry|William Henry Bissell

Bitsios, Dimitrios|Dimitris Beis

Bizenjo, Mir Ghaus Bakhsh|Ghaus Bakhsh Bizenjo

Bizri, Afif|Afif Al Bizri

Björnsson, Sveinn|Sveinn Björnsson

Black, Eugene R.|Eugene Black

Black, John W.|John Black

Black, John W.|John Black

Black, Robert B.|Robert Black

Blaikie, John|John St. John

Blair, Henry William|William Blair

Blair, Henry William|William Henry

Blair, William McCormick, Jr.|William Blair

Blaize, Herbert|Herbert Blaize

Blancard, Jean|John Blanchard

Blanchard, James J.|James Blanchard

Blanchard, James J.|James Blanchard

Blank, Theodor|Theodor Blank

Blank, Theodor|Theodore Lyman

Blatnik, John A.|John Blatnik

Bleecker, Harmanus|Harmanus Bleecker

